W H S V
0.00118210071139 39 153 212
0.00167748075871 39 152 213
0.00215392793018 36 153 209
0.00250250722566 36 150 212
0.00263081351481 33 153 210
0.00250250722566 33 152 211
0.00215392793018 30 149 207
0.00167748075871 30 149 207
0.00118210071139 28 146 212
0.000753740691637 28 144 214
0.000434870549116 28 142 216
0.000753740691637 42 150 220
0.00130642332847 42 149 221
0.00204887962545 39 149 217
0.00290749858744 39 150 216
0.00373330208526 36 150 213
0.00433747820111 36 148 216
0.00455986546398 33 149 215
0.00433747820111 33 149 216
0.00373330208526 30 145 213
0.00290749858744 30 144 215
0.00204887962545 28 141 219
0.00130642332847 28 141 219
0.000753740691637 28 139 220
0.00118210071139 30 140 210
0.00204887962545 30 139 211
0.00321328288319 25 145 225
0.00455986546398 25 144 227
0.00585498315243 21 151 243
0.00680251991709 21 151 243
0.00715129257136 19 157 250
0.00680251991709 19 156 252
0.00585498315243 19 156 255
0.00455986546398 19 155 255
0.00321328288319 18 152 255
0.00204887962545 18 151 255
0.00118210071139 19 151 255
0.00167748075871 30 138 213
0.00290749858744 30 137 214
0.00455986546398 25 142 230
0.00647075710589 25 141 231
0.00830861658918 21 146 251
0.00965323526301 21 146 251
0.0101481672185 20 152 255
0.00965323526301 20 152 255
0.00830861658918 19 150 255
0.00647075710589 19 152 255
0.00455986546398 18 150 255
0.00290749858744 19 147 255
0.00167748075871 20 147 255
0.00215392793018 18 153 255
0.00373330208526 18 152 255
0.00585498315243 17 150 255
0.00830861658918 17 148 255
0.010668474878 16 146 255
0.012394999431 16 146 255
0.0130305046414 15 146 255
0.012394999431 15 146 255
0.010668474878 16 149 255
0.00830861658918 15 150 255
0.00585498315243 15 152 255
0.00373330208526 15 149 255
0.00215392793018 17 148 255
0.00250250722566 18 151 255
0.00433747820111 18 150 255
0.00680251991709 17 148 255
0.00965323526301 18 147 255
0.012394999431 16 147 255
0.0144009347775 16 146 255
0.0151392864924 15 146 255
0.0144009347775 15 146 255
0.012394999431 16 148 255
0.00965323526301 16 149 255
0.00680251991709 15 150 255
0.00433747820111 15 150 255
0.00250250722566 17 148 255
0.00263081351481 17 153 255
0.00455986546398 17 152 255
0.00715129257136 17 150 255
0.0101481672185 17 150 255
0.0130305046414 16 147 255
0.0151392864924 16 146 255
0.0159154943092 15 147 255
0.0151392864924 15 146 255
0.0130305046414 16 147 255
0.0101481672185 16 148 255
0.00715129257136 16 150 255
0.00455986546398 16 152 255
0.00263081351481 17 154 255
0.00250250722566 17 152 255
0.00433747820111 17 150 255
0.00680251991709 17 150 255
0.00965323526301 17 149 255
0.012394999431 16 146 255
0.0144009347775 16 146 255
0.0151392864924 15 146 255
0.0144009347775 15 146 255
0.012394999431 16 149 255
0.00965323526301 15 153 255
0.00680251991709 15 154 255
0.00433747820111 16 152 255
0.00250250722566 17 154 255
0.00215392793018 17 152 255
0.00373330208526 17 150 255
0.00585498315243 18 149 255
0.00830861658918 18 149 255
0.010668474878 19 147 255
0.012394999431 19 147 255
0.0130305046414 19 148 255
0.012394999431 19 147 255
0.010668474878 19 154 255
0.00830861658918 18 160 255
0.00585498315243 19 157 255
0.00373330208526 20 155 255
0.00215392793018 21 156 251
0.00167748075871 17 152 255
0.00290749858744 17 152 255
0.00455986546398 17 152 255
0.00647075710589 17 153 255
0.00830861658918 18 151 255
0.00965323526301 18 152 255
0.0101481672185 18 153 255
0.00965323526301 18 153 255
0.00830861658918 19 157 255
0.00647075710589 18 162 254
0.00455986546398 19 161 250
0.00290749858744 19 160 252
0.00167748075871 21 160 245
0.00118210071139 18 152 255
0.00204887962545 18 153 255
0.00321328288319 18 152 255
0.00455986546398 17 153 255
0.00585498315243 28 139 220
0.00680251991709 28 138 222
0.00715129257136 29 138 216
0.00680251991709 29 139 214
0.00585498315243 31 141 211
0.00455986546398 31 142 210
0.00321328288319 33 146 210
0.00204887962545 33 146 209
0.00118210071139 36 150 212
0.000753740691637 18 154 255
0.00130642332847 18 154 255
0.00204887962545 18 152 255
0.00290749858744 17 154 255
