W Y Cr Cb
0.0130305046414 178 183 138
0.0101481672185 181 181 141
0.00715129257136 180 181 141
0.00455986546398 185 178 142
0.00263081351481 181 181 140
0.00250250722566 190 139 149
0.00433747820111 191 174 142
0.00680251991709 193 172 143
0.00965323526301 183 179 139
0.012394999431 183 179 139
0.0144009347775 177 184 138
0.0151392864924 186 177 140
0.0144009347775 176 184 140
0.012394999431 173 186 140
0.00965323526301 177 184 143
0.00680251991709 178 183 143
0.00433747820111 185 178 145
0.00250250722566 181 181 144
0.00215392793018 189 139 149
0.00373330208526 190 174 142
0.00585498315243 194 171 143
0.00830861658918 186 177 140
0.010668474878 178 183 138
0.012394999431 180 181 138
0.0130305046414 178 183 138
0.012394999431 172 187 139
0.010668474878 172 187 139
0.00830861658918 176 184 143
0.00585498315243 178 183 143
0.00373330208526 185 178 145
0.00215392793018 182 180 144
0.00167748075871 187 132 152
0.00290749858744 192 173 143
0.00455986546398 198 169 144
0.00647075710589 185 178 143
0.00830861658918 181 181 142
0.00965323526301 179 182 143
0.0101481672185 176 184 142
0.00965323526301 172 187 144
0.00830861658918 174 186 144
0.00647075710589 180 181 145
0.00455986546398 180 181 146
0.00290749858744 186 177 145
0.00167748075871 183 179 145
0.00118210071139 178 132 152
0.00204887962545 187 176 142
0.00321328288319 194 171 143
0.00455986546398 181 181 142
0.00585498315243 188 176 144
0.00680251991709 183 179 144
0.00715129257136 186 177 144
0.00680251991709 177 184 145
0.00585498315243 173 186 144
0.00455986546398 177 184 145
0.00321328288319 179 182 145
0.00204887962545 183 179 145
0.00118210071139 179 182 144
0.000753740691637 177 103 152
0.00130642332847 187 149 144
0.00204887962545 198 149 144
0.00290749858744 185 178 145
0.00373330208526 189 175 145
0.00433747820111 187 176 149
0.00455986546398 184 179 149
0.00433747820111 185 178 151
0.00373330208526 185 178 151
0.00290749858744 190 174 150
0.00204887962545 181 181 148
0.00130642332847 187 169 145
0.000753740691637 179 169 145
0.000434870549116 173 103 152
0.000753740691637 182 149 144
0.00118210071139 191 149 144
0.00167748075871 189 175 145
0.00215392793018 190 174 146
0.00250250722566 183 179 148
0.00263081351481 183 179 148
0.00250250722566 180 181 149
0.00215392793018 178 183 149
0.00167748075871 185 178 149
0.00118210071139 179 182 147
0.000753740691637 184 169 145
0.000434870549116 177 169 145
0.000434870549116 125 187 156
0.000753740691637 126 187 156
0.00118210071139 125 201 154
0.00167748075871 127 201 154
0.00215392793018 129 208 151
0.00250250722566 134 208 151
0.00263081351481 132 216 153
0.00250250722566 132 216 153
0.00215392793018 131 216 152
0.00167748075871 129 218 152
0.00118210071139 129 218 153
0.000753740691637 131 216 153
0.000434870549116 132 216 156
0.000753740691637 125 204 153
0.00130642332847 126 204 153
0.00204887962545 125 221 151
0.00290749858744 127 219 151
0.00373330208526 125 221 150
0.00433747820111 126 220 151
0.00455986546398 124 221 156
0.00433747820111 124 221 156
0.00373330208526 125 221 153
0.00290749858744 125 221 153
0.00204887962545 124 221 154
0.00130642332847 123 222 154
0.000753740691637 123 222 157
0.00118210071139 121 204 153
0.00204887962545 122 204 153
0.00321328288319 124 221 151
0.00455986546398 127 219 151
0.00585498315243 125 221 150
0.00680251991709 127 219 151
0.00715129257136 121 224 155
0.00680251991709 123 222 155
0.00585498315243 124 221 153
0.00455986546398 126 220 154
0.00321328288319 125 221 155
0.00204887962545 125 221 155
0.00118210071139 123 222 157
0.00167748075871 123 222 155
0.00290749858744 126 220 156
0.00455986546398 124 221 156
0.00647075710589 125 221 157
0.00830861658918 124 221 155
0.00965323526301 125 221 156
0.0101481672185 136 213 153
0.00965323526301 128 219 151
0.00830861658918 117 226 149
0.00647075710589 130 217 153
0.00455986546398 124 221 154
0.00290749858744 124 221 154
0.00167748075871 126 220 155
0.00215392793018 129 218 157
0.00373330208526 127 219 156
0.00585498315243 129 218 158
0.00830861658918 130 217 158
0.010668474878 128 219 156
0.012394999431 128 219 156
0.0130305046414 137 212 153
0.012394999431 120 224 149
0.010668474878 115 228 149
0.00830861658918 127 219 152
0.00585498315243 124 221 154
0.00373330208526 124 221 154
0.00215392793018 126 220 155
0.00250250722566 124 221 156
0.00433747820111 129 218 157
0.00680251991709 127 219 156
0.00965323526301 127 219 156
0.012394999431 123 222 155
0.0144009347775 123 222 155
0.0151392864924 135 214 153
0.0144009347775 130 217 152
0.012394999431 125 221 152
0.00965323526301 126 220 152
0.00680251991709 125 221 155
0.00433747820111 125 221 155
0.00250250722566 125 221 157
0.00263081351481 128 219 157
0.00455986546398 129 218 157
0.00715129257136 128 219 157
0.0101481672185 128 219 156
0.0130305046414 125 221 156
0.0151392864924 125 221 156
0.0159154943092 133 215 152
0.0151392864924 130 217 151
0.0130305046414 117 226 150
0.0101481672185 127 219 153
0.00715129257136 125 221 155
0.00455986546398 125 221 155
0.00263081351481 125 221 157
0.00250250722566 121 224 158
0.00433747820111 128 219 160
0.00680251991709 128 219 157
0.00965323526301 128 219 157
0.012394999431 127 219 155
0.0144009347775 127 219 155
0.0151392864924 127 219 155
0.0144009347775 127 219 155
0.012394999431 127 219 155
0.00965323526301 127 219 156
0.00680251991709 129 218 157
0.00433747820111 128 219 157
0.00250250722566 129 218 158
0.00215392793018 125 221 159
0.00373330208526 131 216 161
0.00585498315243 131 216 158
0.00830861658918 131 216 157
0.010668474878 129 218 155
0.012394999431 127 219 155
0.0130305046414 127 219 155
0.012394999431 126 220 155
0.010668474878 125 221 155
0.00830861658918 123 222 155
0.00585498315243 124 221 156
0.00373330208526 121 224 155
0.00215392793018 122 223 156
0.00167748075871 130 217 160
0.00290749858744 127 219 160
0.00455986546398 128 219 157
0.00647075710589 128 219 157
0.00830861658918 130 217 155
0.00965323526301 130 217 155
0.0101481672185 129 218 153
0.00965323526301 128 219 153
0.00830861658918 127 219 156
0.00647075710589 126 220 156
0.00455986546398 130 217 155
0.00290749858744 126 220 155
0.00167748075871 130 217 153
0.00118210071139 130 217 160
0.00204887962545 123 222 158
0.00321328288319 123 222 155
0.00455986546398 124 221 156
0.00585498315243 126 220 153
0.00680251991709 126 220 153
0.00715129257136 125 221 152
0.00680251991709 127 219 152
0.00585498315243 127 219 156
0.00455986546398 127 219 156
0.00321328288319 122 223 153
0.00204887962545 120 224 153
0.00118210071139 124 221 152
0.000753740691637 136 213 166
0.00130642332847 131 216 164
0.00204887962545 132 216 166
0.00290749858744 132 216 166
0.00373330208526 132 216 164
0.00433747820111 131 216 164
0.00455986546398 133 215 159
0.00433747820111 128 216 158
0.00373330208526 126 212 155
0.00290749858744 126 212 155
0.00204887962545 123 206 155
0.00130642332847 122 206 155
0.000753740691637 121 201 158
0.000434870549116 124 221 163
0.000753740691637 129 218 164
0.00118210071139 129 218 165
0.00167748075871 129 218 165
0.00215392793018 128 219 162
0.00250250722566 127 219 162
0.00263081351481 128 216 158
0.00250250722566 127 216 158
0.00215392793018 126 212 155
0.00167748075871 125 212 155
0.00118210071139 123 206 155
0.000753740691637 122 206 155
0.000434870549116 121 201 158
0.000434870549116 185 113 72
0.000753740691637 185 113 72
0.00118210071139 186 120 71
0.00167748075871 187 120 71
0.00215392793018 187 124 70
0.00250250722566 190 124 70
0.00263081351481 191 132 68
0.00250250722566 192 132 68
0.00215392793018 193 137 68
0.00167748075871 193 137 68
0.00118210071139 194 141 70
0.000753740691637 196 141 70
0.000434870549116 197 142 71
0.000753740691637 190 113 72
0.00130642332847 191 113 72
0.00204887962545 191 120 71
0.00290749858744 190 120 71
0.00373330208526 191 124 70
0.00433747820111 194 124 70
0.00455986546398 196 132 68
0.00433747820111 197 132 68
0.00373330208526 199 137 68
0.00290749858744 201 137 68
0.00204887962545 201 141 70
0.00130642332847 201 141 70
0.000753740691637 201 142 71
0.00118210071139 196 138 71
0.00204887962545 197 138 71
0.00321328288319 198 147 71
0.00455986546398 200 147 71
0.00585498315243 200 159 71
0.00680251991709 200 159 71
0.00715129257136 201 163 69
0.00680251991709 203 163 69
0.00585498315243 203 165 69
0.00455986546398 203 165 70
0.00321328288319 202 166 72
0.00204887962545 203 165 72
0.00118210071139 207 162 70
0.00167748075871 199 138 71
0.00290749858744 200 138 71
0.00455986546398 203 147 71
0.00647075710589 204 147 71
0.00830861658918 208 159 71
0.00965323526301 208 159 71
0.0101481672185 207 162 69
0.00965323526301 207 162 69
0.00830861658918 207 162 70
0.00647075710589 205 164 70
0.00455986546398 203 165 73
0.00290749858744 205 164 73
0.00167748075871 209 161 71
0.00215392793018 201 167 72
0.00373330208526 202 166 72
0.00585498315243 200 167 74
0.00830861658918 202 166 74
0.010668474878 199 168 77
0.012394999431 199 168 77
0.0130305046414 196 170 79
0.012394999431 196 170 79
0.010668474878 196 170 77
0.00830861658918 195 171 77
0.00585498315243 192 173 78
