W R G B
0.00455986546398 255 141 221
0.00433747820111 255 141 225
0.00373330208526 255 141 225
0.00290749858744 255 149 229
0.00204887962545 255 137 217
0.00130642332847 244 152 217
0.000753740691637 236 144 209
0.000434870549116 138 183 215
0.000753740691637 212 162 210
0.00118210071139 221 171 219
0.00167748075871 255 149 220
0.00215392793018 255 151 222
0.00250250722566 255 139 219
0.00263081351481 255 139 219
0.00250250722566 255 134 218
0.00215392793018 255 132 216
0.00167748075871 255 142 222
0.00118210071139 255 133 213
0.000753740691637 241 149 214
0.000434870549116 234 142 207
0.000434870549116 208 73 175
0.000753740691637 209 74 176
0.00118210071139 227 64 171
0.00167748075871 229 66 173
0.00215392793018 241 64 169
0.00250250722566 246 69 174
0.00263081351481 255 60 177
0.00250250722566 255 60 177
0.00215392793018 255 59 173
0.00167748075871 255 57 171
0.00118210071139 255 57 173
0.000753740691637 255 59 175
0.000434870549116 255 60 181
0.000753740691637 232 62 169
0.00130642332847 233 63 170
0.00204887962545 255 51 166
0.00290749858744 255 53 168
0.00373330208526 255 51 164
0.00433747820111 255 53 166
0.00455986546398 255 48 173
0.00433747820111 255 48 173
0.00373330208526 255 50 170
0.00290749858744 255 50 170
0.00204887962545 255 48 170
0.00130642332847 255 47 169
0.000753740691637 255 46 174
0.00118210071139 228 58 165
0.00204887962545 229 59 166
0.00321328288319 255 50 165
0.00455986546398 255 53 168
0.00585498315243 255 51 164
0.00680251991709 255 54 167
0.00715129257136 255 44 169
0.00680251991709 255 46 171
0.00585498315243 255 49 169
0.00455986546398 255 52 172
0.00321328288319 255 50 172
0.00204887962545 255 50 172
0.00118210071139 255 46 174
0.00167748075871 255 46 171
0.00290749858744 255 50 175
0.00455986546398 255 47 174
0.00647075710589 255 49 176
0.00830861658918 255 48 172
0.00965323526301 255 50 174
0.0101481672185 255 67 180
0.00965323526301 255 56 169
0.00830861658918 255 39 155
0.00647075710589 255 58 174
0.00455986546398 255 48 170
0.00290749858744 255 48 170
0.00167748075871 255 51 174
0.00215392793018 255 55 180
0.00373330208526 255 52 177
0.00585498315243 255 55 182
0.00830861658918 255 56 183
0.010668474878 255 54 178
0.012394999431 255 54 178
0.0130305046414 255 68 181
0.012394999431 255 44 157
0.010668474878 255 37 153
0.00830861658918 255 54 170
0.00585498315243 255 48 170
0.00373330208526 255 48 170
0.00215392793018 255 51 174
0.00250250722566 255 48 174
0.00433747820111 255 55 181
0.00680251991709 255 52 177
0.00965323526301 255 52 177
0.012394999431 255 46 170
0.0144009347775 255 46 170
0.0151392864924 255 66 179
0.0144009347775 255 59 172
0.012394999431 255 51 168
0.00965323526301 255 52 169
0.00680251991709 255 49 173
0.00433747820111 255 49 173
0.00250250722566 255 49 177
0.00263081351481 255 54 180
0.00455986546398 255 55 181
0.00715129257136 255 54 179
0.0101481672185 255 53 178
0.0130305046414 255 50 174
0.0151392864924 255 50 174
0.0159154943092 255 63 176
0.0151392864924 255 58 171
0.0130305046414 255 39 156
0.0101481672185 255 54 171
0.00715129257136 255 49 173
0.00455986546398 255 49 173
0.00263081351481 255 49 177
0.00250250722566 255 43 175
0.00433747820111 255 53 185
0.00680251991709 255 54 180
0.00965323526301 255 54 180
0.012394999431 255 52 174
0.0144009347775 255 52 174
0.0151392864924 255 52 174
0.0144009347775 255 52 174
0.012394999431 255 52 175
0.00965323526301 255 53 176
0.00680251991709 255 55 180
0.00433747820111 255 54 179
0.00250250722566 255 54 182
0.00215392793018 255 48 180
0.00373330208526 255 57 189
0.00585498315243 255 58 184
0.00830861658918 255 57 183
0.010668474878 255 55 177
0.012394999431 255 53 175
0.0130305046414 255 52 174
0.012394999431 255 51 173
0.010668474878 255 49 172
0.00830861658918 255 47 170
0.00585498315243 255 48 173
0.00373330208526 255 44 169
0.00215392793018 255 44 172
0.00167748075871 255 55 187
0.00290749858744 255 51 183
0.00455986546398 255 54 179
0.00647075710589 255 54 179
0.00830861658918 255 57 177
0.00965323526301 255 57 177
0.0101481672185 255 56 173
0.00965323526301 255 55 172
0.00830861658918 255 52 177
0.00647075710589 255 51 176
0.00455986546398 255 57 178
0.00290749858744 255 52 173
0.00167748075871 255 57 175
0.00118210071139 255 55 187
0.00204887962545 255 45 177
0.00321328288319 255 46 171
0.00455986546398 255 48 173
0.00585498315243 255 51 171
0.00680251991709 255 51 171
0.00715129257136 255 51 168
0.00680251991709 255 53 170
0.00585498315243 255 52 177
0.00455986546398 255 52 177
0.00321328288319 255 45 166
0.00204887962545 255 43 164
0.00118210071139 255 49 167
0.000753740691637 255 63 203
0.00130642332847 255 55 195
0.00204887962545 255 56 199
0.00290749858744 255 56 199
0.00373330208526 255 57 195
0.00433747820111 255 56 194
0.00455986546398 255 60 188
0.00433747820111 252 54 182
0.00373330208526 244 57 174
0.00290749858744 244 57 174
0.00204887962545 232 59 171
0.00130642332847 231 58 170
0.000753740691637 223 58 175
0.000434870549116 255 46 186
0.000753740691637 255 53 193
0.00118210071139 255 52 195
0.00167748075871 255 52 195
